# 승인 구어 질문 패턴. 원래 scripts/build_concept_question_patterns.py 생성물이었으나
# 생성기가 저장소에 없다(2026-09-02 확인). 이 파일을 직접 편집하고
# tests/test_concept_question_patterns.py 로 판정 기준선을 지킨다.
#
# mode  AUTO 표기만으로 확정 · CONTEXT 필요 단서 있고 금지 단서 없을 때만
#       CLARIFY 후보 둘 이상 역질문 · ROUTE_CLARIFY route 부터 확인
#       BLOCK 의미는 알지만 지원 밖
# 금지 단서가 필요 단서를 이긴다. 긴 표기가 짧은 표기보다 먼저 잡힌다.
#
# 기각된 표기(넣지 않는 이유):
#   얼마나팔 — 활용어미 절단형. 사람의 질문이 아니라 형태 정규화의 몫
#   매출총이익률계산용원가 — 초안 생성 과정에서 만들어진 합성 표기. 실사용 구어가 아니다
#   덩치 — 자산·매출·시가총액·기업규모를 모두 뜻한다
#   채무 — 차입금·매입채무·기타채무를 포함해 total_liabilities 별칭으로 부적절
#   무형자산 — 이미 정본 사전에 있다 (NOOP)
#   eps — 이미 정본 사전에 있다 (NOOP)
#
# 9열 fanout(선택) — CLARIFY 후보를 묻지 않고 전부 답한다. 생략하면 꺼짐.
# pattern_id	surface	mode	candidates	required_cues	forbidden_cues	question_kind	note	fanout
revenue_explicit_sales	판매액	AUTO	revenue	-	-	revenue	금액 단서가 표기에 포함된 판매 매출
revenue_maesang	매상	AUTO	revenue	-	-	revenue	매출의 통용 구어
revenue_scale	매출규모	AUTO	revenue	-	-	revenue	명시적 매출 표현
revenue_topline_ko	탑라인	AUTO	revenue	-	-	revenue	재무 문맥의 top line
revenue_topline_en	topline	AUTO	revenue	-	-	revenue	탑라인과 동일
revenue_sales_record	판매실적	CONTEXT	revenue	얼마|얼마나|금액|규모|액수	몇개|몇대|몇톤|몇장|수량|대수|판매량|출하량	revenue	금액 단서가 있을 때만. 수량 질문은 지원 밖
revenue_sold_amount	팔았어	CONTEXT	revenue	얼마|얼마나|금액|규모|액수	설비|공장|기계|기계장치|유형자산|무형자산|토지|건물|부동산|사업부|사업|지분|회사|자회사|주식|몇개|몇대|몇톤|몇장|수량|대수|판매량|출하량|얼마에|가격에|매각가|처분가	revenue	금액을 묻는 판매. 대상 명사·수량·가격 단서가 있으면 적용하지 않는다
revenue_sold_amount_na	팔았나	CONTEXT	revenue	얼마|얼마나|금액|규모|액수	설비|공장|기계|기계장치|유형자산|무형자산|토지|건물|부동산|사업부|사업|지분|회사|자회사|주식|몇개|몇대|몇톤|몇장|수량|대수|판매량|출하량|얼마에|가격에|매각가|처분가	revenue	팔았어와 동일
revenue_sold_amount_go	팔았고	CONTEXT	revenue	얼마|얼마나|금액|규모|액수	설비|공장|기계|기계장치|유형자산|무형자산|토지|건물|부동산|사업부|사업|지분|회사|자회사|주식|몇개|몇대|몇톤|몇장|수량|대수|판매량|출하량|얼마에|가격에|매각가|처분가	revenue	연결어미형. 활용은 표기로 담고 절단형은 만들지 않는다
sold_route	팔았어	ROUTE_CLARIFY	revenue|disposal_ppe|disposal_intangible	-	몇개|몇대|몇톤|몇장|수량|대수|판매량|출하량|설비|공장|기계|기계장치|유형자산|무형자산|토지|건물|부동산|사업부|사업|지분|회사|자회사|주식	revenue	단서가 없으면 판매·처분·매각 중 무엇인지 route 부터 확인한다
